"id" "rt" "err" "stim" "type" "img" "word" "order"
"134" "6101" NA 1 "DIM" "word" NA NA 0.19895007230702
"135" "6101" 6.38012253689976 0 "SCOUT" "word" "high" NA 0.213160791757522
"136" "6101" 6.9037472575846 0 "GREEF" "pseudohomophone" NA "more" 0.227371511208023
"137" "6101" 6.62539236800796 0 "SWORN" "word" "low" NA 0.241582230658525
"138" "6101" NA 1 "SPIRE" "word" "low" NA 0.255792950109026
"139" "6101" 6.85435450225502 0 "CHOART" "nonword" NA "less" 0.270003669559528
"140" "6101" NA 1 "TRAM" "word" "low" NA 0.284214389010029
"141" "6101" 6.2363695902037 0 "CADE" "nonword" NA "more" 0.298425108460531
"142" "6101" 6.3578422665081 0 "OAK" "word" NA NA 0.312635827911032
"143" "6101" 6.72383244082121 0 "RADE" "pseudohomophone" NA "more" 0.326846547361534
"144" "6101" 6.59714570188665 0 "ACID" "word" NA NA 0.341057266812035
"145" "6101" 6.93634273583405 0 "MOTH" "word" "high" NA 0.355267986262537
"146" "6101" 6.59167373200866 0 "TROAB" "nonword" NA "less" 0.369478705713038
"147" "6101" 6.62539236800796 0 "WAX" "word" NA NA 0.383689425163539
"148" "6101" NA 1 "STILE" "word" "low" NA 0.397900144614041
"149" "6101" 6.66949808985788 0 "RUDE" "word" "low" NA 0.412110864064542
"150" "6101" 6.65672652417839 0 "BOLD" "word" "low" NA 0.426321583515044
"151" "6101" NA 1 "MODE" "word" "low" NA 0.440532302965545
"152" "6101" 6.82546003625531 0 "PALM" "word" "high" NA 0.454743022416047
"153" "6101" 6.70686233660275 0 "PATCH" "word" "high" NA 0.468953741866548
"154" "6101" 6.99025650049388 0 "LAYVY" "nonword" NA "less" 0.48316446131705
"155" "6101" 6.97728134163075 0 "NEEM" "nonword" NA "more" 0.497375180767551
"156" "6101" 6.95654544315157 0 "MAHRN" "nonword" NA "less" 0.511585900218053
"157" "6101" 6.88141130364254 0 "JUNK" "word" NA NA 0.525796619668554
"158" "6101" 6.45519856334012 0 "TITE" "pseudohomophone" NA "more" 0.540007339119056
"159" "6101" 7.01391547481053 0 "LEMON" "word" NA NA 0.554218058569557
"160" "6101" 6.89264164117209 0 "COMB" "word" "high" NA 0.568428778020059
"161" "6101" 6.82328612235569 0 "PRORE" "nonword" NA "more" 0.58263949747056
"162" "6101" 6.55677835615804 0 "BRAIVE" "pseudohomophone" NA "less" 0.596850216921061
"163" "6101" 6.42648845745769 0 "BOOPE" "nonword" NA "less" 0.611060936371563
"164" "6101" 6.6631326959908 0 "COUCH" "word" "high" NA 0.625271655822064
"165" "6101" 6.45676965557216 0 "MEEL" "pseudohomophone" NA "more" 0.639482375272566
